"Water Body","Calcium (Ca) (mg/L)","Magnesium (Mg) (mg/L)","Sodium (Na) (mg/L)","Potassium (K) (mg/L)","Chloride (Cl) (mg/L)","Sulfate (SO?) (mg/L)","Nitrate (NO?) (mg/L)","Bicarbonate (HCO?) (mg/L)","Iron (Fe) (mg/L)","TDS (mg/L)","Microplastics (Post-filtration) (particles/L)",
"Black Water","20","8","75","6","85","55","18","90","1.1","580","6.2",
"Distilled Water","1","0.5","1","0.2","1","0.5","0.1","2","0.01","2","0.0",
"Deionized Water","1","0.3","0.5","0.1","0.5","0.3","0.05","1","0.01","1","0.0",
"Hydrothermal Vent","80","30","100","10","150","120","3","200","2.5","900","1.0",
"Submarine Springs","70","28","90","9","140","100","2.5","190","2.0","880","1.5",
"Freshwater Aquifer","60","22","35","3.5","30","15","1.8","175","0.6","470","1.3",
"Permafrost Water","45","16","28","2.2","20","10","1.2","160","0.4","450","1.0",
"Marsh Water","38","14","40","3","55","25","3.5","150","0.7","490","3.2",
"Bog Water","36","12","38","2.8","50","20","2.8","145","0.8","480","3.0",
"Peatland Water","32","11","42","2.7","48","22","2.9","138","0.6","470","3.4",
"Fen Water","34","12","39","2.9","46","21","2.7","142","0.5","460","3.1",
"Lagoon Water","65","26","80","6.2","120","60","4.1","190","1.2","820","4.5",
"Bay Water","70","27","90","6.5","130","65","4.4","200","1.3","850","5.0",
"Gulf Water","75","30","95","6.8","140","70","4.6","210","1.4","880","5.2",
"Fjord Water","68","28","85","6.1","125","60","4.0","185","1.1","800","4.8",
"Canal Water","50","20","70","5.0","100","45","3.2","160","0.8","720","4.0",
"Seawater Ice","60","24","88","4.5","115","55","2.5","175","1.0","750","1.7",
"Glacial Lake Water","28","10","30","2.4","18","12","1.6","130","0.4","410","0.8",
"High-altitude Lake Water","30","11","33","2.6","20","14","1.8","135","0.5","430","1.0",
"Tundra Water","25","9","28","2.0","17","10","1.2","125","0.3","390","0.9",
"Karst Spring Water","45","18","50","3.5","40","25","2.2","145","0.7","480","1.3",
"Salt Marsh Water","80","35","110","7.0","160","85","5.1","215","1.5","920","6.0",
"Saline Groundwater","85","36","115","7.2","170","90","5.4","220","1.6","940","6.3",
"Evaporite Water","90","38","120","7.5","180","95","5.7","225","1.7","960","6.5",
"Soda Lake Water","78","33","105","6.8","155","80","4.9","210","1.4","900","5.8",
"Alkaline Water","76","32","100","6.5","150","75","4.5","205","1.3","880","5.5",
"Brine Pool","120","50","150","8.2","250","130","6.8","270","2.2","1200","7.5",
"Desert Oasis Water","48","19","55","3.9","45","28","2.6","150","0.8","500","1.4",
"Acidic Mine Water","20","7","25","1.5","12","6","0.9","100","3.5","360","3.9",
"Coal Seam Water","65","28","80","5.2","95","60","3.8","190","2.0","720","5.0",
"Sediment Pore Water","58","25","75","4.9","85","55","3.5","185","1.8","700","4.7",
"Stormwater","42","16","60","3.7","70","40","2.9","160","1.2","600","3.5",
"Mountain Stream Water","28","10","35","2.1","25","15","1.1","130","0.4","380","1.1",
"Volcanic Crater Lake Water","55","22","70","4.2","90","50","3.2","175","2.5","680","4.5",
"Hydroelectric Dam Water","38","14","45","2.9","35","20","1.6","145","0.6","440","2.0",
"Isolated Island Spring Water","34","13","42","2.7","30","18","1.5","140","0.5","420","1.7",
